PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
40054034,"Pluripotent stem cell-derived mesenchymal stem cells for therapeutic applications, developmental study, and cancer research.",,N/A,N/A,N/A
40054028,Association between body composition parameters and treatment-related toxicities in patients with metastatic breast cancer receiving cyclin-dependent kinase 4 and 6 inhibitors.,,N/A,N/A,N/A
40054027,Core elements and principles of nutrition models of care for people with cancer: A scoping review.,,N/A,N/A,N/A
40054017,"Connecting the dots: Mitochondrial transfer in immunity, inflammation, and cancer.",,N/A,N/A,N/A
40054009,The Effect of X-ray Dose Photon-Counting Detector Computed Tomography on Nodule Properties in a Lung Cancer Screening Cohort: A Prospective Study.,,N/A,N/A,N/A
40053906,Comparison of Short-Term Outcomes Between Robotic-Assisted and Open Pancreatoduodenectomy: A Retrospective Cohort Study With Inverse Probability of Treatment Weighting (IPTW) Analysis.,,N/A,N/A,N/A
40053904,System and Technology of Breast Intervention Robot: A Review.,,N/A,N/A,N/A
40053903,Perioperative Supportive Care Interventions in Older Adults With Cancer: Opportunities and Challenges.,,N/A,N/A,N/A
40053902,Prospective Evaluation of the Pathologic Diagnosis and Treatment Outcomes of Pediatric Burkitt Lymphoma in the Central American Pediatric Hematology-Oncology Association Consortium.,,N/A,N/A,N/A
40053901,Germline Genetic Testing in Breast Cancer: Utilization and Disparities in a Middle-Income Country.,,N/A,N/A,N/A
